transaction_id,user_id,related_invoice_id,related_job_id,transaction_type,amount,currency,description,merchant_name,transaction_category,date,balance_after_transaction,payment_method,geo_location,created_at,updated_at
txn_0B29335B,user_031,,,DEBIT,766.0,INR,CARD-SPOTIFY,Spotify,Entertainment,2025-07-11T19:07:09.762566+00:00,142319,CARD,"Bengaluru, Karnataka",2025-07-11T19:07:09.762566+00:00,2025-07-11T19:07:09.762566+00:00
txn_B90F6E8B,user_006,,,DEBIT,1944.0,INR,UPI-CAFE-COFFEE-CENTRAL-CAFE-HOUSE-CAFE-COFFEE-BEAN-CAFE-COFFEE-HUB-&-SPENCER-ONLINE,Cafe Coffee Central,Transport,2025-08-27T23:57:38.762566+00:00,98559,UPI,"Pune, Maharashtra",2025-08-27T23:57:38.762566+00:00,2025-08-27T23:57:38.762566+00:00
txn_E6B3A520,user_036,,,DEBIT,1247.0,INR,UPI-APOLLO-PHARMACY-INDIA,Apollo Pharmacy India,Transport,2025-08-25T23:53:45.762566+00:00,67040,UPI,"Delhi, Delhi",2025-08-25T23:53:45.762566+00:00,2025-08-25T23:53:45.762566+00:00
txn_FDA5BC7A,user_013,,,DEBIT,2743.0,INR,UPI-APOLLO-CARE-PHARMACY,Apollo Care Pharmacy,Transport,2025-09-15T10:45:12.762566+00:00,220102,UPI,"Delhi, Delhi",2025-09-15T10:45:12.762566+00:00,2025-09-15T10:45:12.762566+00:00
txn_91CA5357,user_042,,,DEBIT,766.0,INR,UPI-MOBILE-RECHARGE,Mobile Recharge,Recharge,2025-08-09T11:11:26.762566+00:00,125528,UPI,"Pune, Maharashtra",2025-08-09T11:11:26.762566+00:00,2025-08-09T11:11:26.762566+00:00
txn_1B8954AE,user_030,,,DEBIT,919.0,INR,UPI-MARKS-&-CO.-HOUSE,Marks & Co.,Transport,2025-11-07T02:53:59.762566+00:00,86175,UPI,"Mumbai, Maharashtra",2025-11-07T02:53:59.762566+00:00,2025-11-07T02:53:59.762566+00:00
txn_92D933D8,user_022,,,DEBIT,848.0,INR,UPI-THIRD-WAVE-COFFEE-DEPOT-CAFE,Third Wave Coffee,Food,2025-08-17T23:05:44.762566+00:00,118185,UPI,"Delhi, Delhi",2025-08-17T23:05:44.762566+00:00,2025-08-17T23:05:44.762566+00:00
txn_45F88FA0,user_006,,,DEBIT,359.0,INR,UPI-ADIDAS-ONLINE,Adidas Online,Shopping,2025-10-07T03:53:31.762566+00:00,98200,UPI,"Delhi, Delhi",2025-10-07T03:53:31.762566+00:00,2025-10-07T03:53:31.762566+00:00
txn_D687E6A5,user_035,,,CREDIT,13242.0,INR,NEFT-DeepLogicSystems-PAYMENT,Deeplogicsystems Payment,Trips,2025-07-22T02:26:39.762566+00:00,119637,NEFT,"Bengaluru, Karnataka",2025-07-22T02:26:39.762566+00:00,2025-07-22T02:26:39.762566+00:00
txn_841E00CD,user_042,,,DEBIT,3292.0,INR,UPI-CAREPLUS-PHARMACY-INDIA,Careplus Pharmacy India,Food,2025-06-20T10:11:05.762566+00:00,122236,UPI,"Mumbai, Maharashtra",2025-06-20T10:11:05.762566+00:00,2025-06-20T10:11:05.762566+00:00
txn_C2D450ED,user_036,,,DEBIT,4162.0,INR,UPI-CAFE-COFFEE-DEPOT-CAFE-HOUSE-CAFE-HOUSE,Cafe Coffee Depot,Transport,2025-08-09T13:12:05.762566+00:00,62878,UPI,"Mumbai, Maharashtra",2025-08-09T13:12:05.762566+00:00,2025-08-09T13:12:05.762566+00:00
txn_82D2398C,user_020,,,DEBIT,2991.0,INR,UPI-CAFE-COFFEE-STREET-CAFE-COFFEE-STOP-ONLINE,Cafe Coffee Street,Transport,2025-10-20T07:39:50.762566+00:00,143711,UPI,"Bengaluru, Karnataka",2025-10-20T07:39:50.762566+00:00,2025-10-20T07:39:50.762566+00:00
txn_066DD6ED,user_024,,,DEBIT,700.0,INR,UPI-DTH-RECHARGE,Dth Recharge,Recharge,2025-11-23T13:37:43.762566+00:00,87512,UPI,"Pune, Maharashtra",2025-11-23T13:37:43.762566+00:00,2025-11-23T13:37:43.762566+00:00
txn_7F0E67C2,user_042,,,DEBIT,4589.0,INR,UPI-=====-MEDICAL_MERCHANTS.TXT-=====-TRANSPORT_MERCHANTS.TXT-=====-MEDICAL_MERCHANTS.TXT-=====,===== Medical_Merchants.Txt =====,Food,2025-08-22T03:06:28.762566+00:00,117647,UPI,"Pune, Maharashtra",2025-08-22T03:06:28.762566+00:00,2025-08-22T03:06:28.762566+00:00
txn_E63F77C3,user_042,,,DEBIT,19532.0,INR,UPI-LANDLORD-RENT,Landlord Rent,Rent,2025-08-30T05:00:04.762566+00:00,98115,UPI,"Delhi, Delhi",2025-08-30T05:00:04.762566+00:00,2025-08-30T05:00:04.762566+00:00
txn_52FE33BE,user_031,,,DEBIT,541.0,INR,UPI-CAFE-COFFEE-COURT-CAFE-EXPRESS,Cafe Coffee Court,Food,2025-09-12T19:01:44.762566+00:00,141778,UPI,"Pune, Maharashtra",2025-09-12T19:01:44.762566+00:00,2025-09-12T19:01:44.762566+00:00
txn_AD4C026D,user_005,,,DEBIT,3675.0,INR,UPI-MARKS-&-CO.-HOUSE,Marks & Co.,Grocery,2025-09-02T17:36:12.762566+00:00,104951,UPI,"Pune, Maharashtra",2025-09-02T17:36:12.762566+00:00,2025-09-02T17:36:12.762566+00:00
txn_23A466BF,user_003,,,DEBIT,20513.0,INR,UPI-LANDLORD-RENT,Landlord Rent,Rent,2025-08-06T09:35:44.762566+00:00,57613,UPI,"Mumbai, Maharashtra",2025-08-06T09:35:44.762566+00:00,2025-08-06T09:35:44.762566+00:00
txn_0D5C5802,user_017,,,DEBIT,2685.0,INR,UPI-CAFE-COFFEE-COURT-CAFE-COFFEE-WORKS-CAFE,Cafe Coffee Court,Grocery,2025-10-25T09:19:49.762566+00:00,65086,UPI,"Bengaluru, Karnataka",2025-10-25T09:19:49.762566+00:00,2025-10-25T09:19:49.762566+00:00
txn_B0149058,user_013,,,DEBIT,3484.0,INR,UPI-CAFE-COFFEE-POINT-HOUSE-CAFE,Cafe Coffee Point,Food,2025-11-18T22:34:42.762566+00:00,216618,UPI,"Bengaluru, Karnataka",2025-11-18T22:34:42.762566+00:00,2025-11-18T22:34:42.762566+00:00
txn_E1B75B7E,user_003,,,DEBIT,118.0,INR,UPI-CAFE-COFFEE-CENTRAL-CAFE-COFFEE-EXPRESS-CAFE,Cafe Coffee Central,Food,2025-11-05T23:03:20.762566+00:00,57495,UPI,"Mumbai, Maharashtra",2025-11-05T23:03:20.762566+00:00,2025-11-05T23:03:20.762566+00:00
txn_50E758E7,user_050,,,DEBIT,4046.0,INR,UPI-SHOPPER'S-STOP-CAFE-COFFEE-LOUNGE,Shopper'S Stop Cafe,Grocery,2025-06-03T03:00:54.762566+00:00,92648,UPI,"Mumbai, Maharashtra",2025-06-03T03:00:54.762566+00:00,2025-06-03T03:00:54.762566+00:00
txn_3DAFC768,user_029,,,DEBIT,4599.0,INR,UPI-CAFE-COFFEE-WORKS-CAFE-COFFEE-SPOT-CAFE-7-BEANS,Cafe Coffee Works,Grocery,2025-05-30T23:24:45.762566+00:00,81319,UPI,"Pune, Maharashtra",2025-05-30T23:24:45.762566+00:00,2025-05-30T23:24:45.762566+00:00
txn_CDFABD2D,user_016,,,DEBIT,596.0,INR,UPI-MARKS-&-CO.,Marks & Co.,Grocery,2025-07-28T02:50:37.762566+00:00,108254,UPI,"Bengaluru, Karnataka",2025-07-28T02:50:37.762566+00:00,2025-07-28T02:50:37.762566+00:00
txn_C5C78CF3,user_037,,,DEBIT,4380.0,INR,UPI-CAFE-EXPRESS-HOUSE,Cafe Express House,Transport,2025-09-26T00:52:48.762566+00:00,120745,UPI,"Mumbai, Maharashtra",2025-09-26T00:52:48.762566+00:00,2025-09-26T00:52:48.762566+00:00
txn_734CBBEA,user_022,INV-2025-1399,job_4e90bad5,CREDIT,85052.0,INR,NEFT-SkyForgeWebSystems-PAYMENT,Skyforgewebsystems Payment,Shopping,2025-11-13T17:58:37.762566+00:00,203237,NEFT,"Pune, Maharashtra",2025-11-13T17:58:37.762566+00:00,2025-11-13T17:58:37.762566+00:00
txn_F89A6D71,user_025,,,DEBIT,1320.0,INR,UPI-CAFE-COFFEE-CENTRAL-CAFE-COFFEE-YARD-HOUSE-CAFE-COFFEE-ZONE-CAFE,Cafe Coffee Central,Shopping,2025-10-19T16:39:50.762566+00:00,142475,UPI,"Bengaluru, Karnataka",2025-10-19T16:39:50.762566+00:00,2025-10-19T16:39:50.762566+00:00
txn_232F0E4B,user_006,,,DEBIT,3190.0,INR,UPI-CAFE-COFFEE-STOP-ONLINE,Cafe Coffee Stop,Transport,2025-10-03T06:12:15.762566+00:00,95010,UPI,"Mumbai, Maharashtra",2025-10-03T06:12:15.762566+00:00,2025-10-03T06:12:15.762566+00:00
txn_0C972558,user_011,,,DEBIT,3335.0,INR,UPI-CAFE-COFFEE-CULTURE,Cafe Coffee Culture,Shopping,2025-10-18T21:20:08.762566+00:00,45566,UPI,"Delhi, Delhi",2025-10-18T21:20:08.762566+00:00,2025-10-18T21:20:08.762566+00:00
txn_27D15735,user_005,,,DEBIT,4388.0,INR,UPI-MEGAMART,Megamart,Grocery,2025-09-25T11:23:47.762566+00:00,100563,UPI,"Pune, Maharashtra",2025-09-25T11:23:47.762566+00:00,2025-09-25T11:23:47.762566+00:00
txn_88A07A86,user_004,,,DEBIT,2091.0,INR,UPI-COSTA-COFFEE-EXPRESS,Costa Coffee Express,Shopping,2025-07-09T15:38:27.762566+00:00,117996,UPI,"Bengaluru, Karnataka",2025-07-09T15:38:27.762566+00:00,2025-07-09T15:38:27.762566+00:00
txn_C3AF26A5,user_048,,,DEBIT,3171.0,INR,UPI-CAFE-COFFEE-GARDEN-CAFE-COFFEE-SHOP-CAFE-COFFEE-TERRACE-CAFE-COFFEE-CULTURE,Cafe Coffee Garden,Food,2025-10-19T05:30:43.762566+00:00,87540,UPI,"Pune, Maharashtra",2025-10-19T05:30:43.762566+00:00,2025-10-19T05:30:43.762566+00:00
txn_8B8B6E25,user_027,,,DEBIT,1852.0,INR,UPI-SHOPPER'S-STOP-CAFE-COFFEE-JUNCTION-HOUSE,Shopper'S Stop Cafe,Food,2025-08-05T17:01:15.762566+00:00,91236,UPI,"Mumbai, Maharashtra",2025-08-05T17:01:15.762566+00:00,2025-08-05T17:01:15.762566+00:00
txn_4D90FFB0,user_009,,,DEBIT,443.0,INR,UPI-CAFE-HOUSE-EXPRESS-HOUSE,Cafe House Express,Transport,2025-06-27T02:51:58.762566+00:00,136286,UPI,"Delhi, Delhi",2025-06-27T02:51:58.762566+00:00,2025-06-27T02:51:58.762566+00:00
txn_0F6819D7,user_014,,,DEBIT,1730.0,INR,UPI-CAFE-COFFEE-BEAN-CAFE-COFFEE-HOUSE,Cafe Coffee Bean,Shopping,2025-06-14T19:48:03.762566+00:00,78695,UPI,"Pune, Maharashtra",2025-06-14T19:48:03.762566+00:00,2025-06-14T19:48:03.762566+00:00
txn_E9A461F4,user_048,,,DEBIT,2457.0,INR,UPI-CAFE-COFFEE-EXPRESS-HOUSE,Cafe Coffee Express,Medical,2025-06-05T07:10:53.762566+00:00,85083,UPI,"Mumbai, Maharashtra",2025-06-05T07:10:53.762566+00:00,2025-06-05T07:10:53.762566+00:00
txn_0CB19AE4,user_026,,,DEBIT,2292.0,INR,UPI-CAFE-COFFEE-CULTURE,Cafe Coffee Culture,Grocery,2025-08-12T19:45:13.762566+00:00,58918,UPI,"Pune, Maharashtra",2025-08-12T19:45:13.762566+00:00,2025-08-12T19:45:13.762566+00:00
txn_7BD8B02D,user_007,,,DEBIT,4983.0,INR,UPI-SNAPDEAL-MALL,Snapdeal Mall,Shopping,2025-07-27T02:19:48.762566+00:00,102513,UPI,"Mumbai, Maharashtra",2025-07-27T02:19:48.762566+00:00,2025-07-27T02:19:48.762566+00:00
txn_EFF8C755,user_028,,,DEBIT,4855.0,INR,UPI-SHOPPER'S-STOP-ONLINE,Shopper'S Stop Online,Grocery,2025-08-19T13:47:12.762566+00:00,216110,UPI,"Delhi, Delhi",2025-08-19T13:47:12.762566+00:00,2025-08-19T13:47:12.762566+00:00
txn_D2083527,user_010,,,DEBIT,2109.0,INR,UPI-=====-SHOPPING_MERCHANTS.TXT-=====-GROCERY_MERCHANTS.TXT-=====,===== Shopping_Merchants.Txt =====,Grocery,2025-08-16T15:46:55.762566+00:00,134754,UPI,"Pune, Maharashtra",2025-08-16T15:46:55.762566+00:00,2025-08-16T15:46:55.762566+00:00
txn_9907DC57,user_034,,,DEBIT,4194.0,INR,UPI-CAFE-COFFEE-JUNCTION-HOUSE-CAFE,Cafe Coffee Junction,Food,2025-11-25T15:57:13.762566+00:00,95560,UPI,"Pune, Maharashtra",2025-11-25T15:57:13.762566+00:00,2025-11-25T15:57:13.762566+00:00
txn_4EBE08F4,user_035,,,DEBIT,1425.0,INR,CARD-HOTSTAR,Hotstar,Entertainment,2025-06-01T09:23:15.762566+00:00,118212,CARD,"Bengaluru, Karnataka",2025-06-01T09:23:15.762566+00:00,2025-06-01T09:23:15.762566+00:00
txn_8BBF4ED2,user_003,,,DEBIT,17093.0,INR,CARD-HOTEL-BOOKING,Hotel Booking,Trips,2025-08-17T22:16:10.762566+00:00,40402,CARD,"Delhi, Delhi",2025-08-17T22:16:10.762566+00:00,2025-08-17T22:16:10.762566+00:00
txn_FF78265E,user_038,,,DEBIT,4378.0,INR,UPI-CAFE-COFFEE-HUB-&-SPENCER-MALL,Cafe Coffee Hub,Shopping,2025-07-24T14:40:01.762566+00:00,130201,UPI,"Mumbai, Maharashtra",2025-07-24T14:40:01.762566+00:00,2025-07-24T14:40:01.762566+00:00
txn_D29D9BAF,user_021,,,DEBIT,649.0,INR,CARD-DISNEY+,Disney+,Entertainment,2025-11-14T03:34:05.762566+00:00,132616,CARD,"Bengaluru, Karnataka",2025-11-14T03:34:05.762566+00:00,2025-11-14T03:34:05.762566+00:00
txn_40ACFE9C,user_017,,,DEBIT,239.0,INR,UPI-CHAI-POINT-HOUSE-CAFE-LATTE,Chai Point House,Shopping,2025-06-25T10:02:43.762566+00:00,64847,UPI,"Delhi, Delhi",2025-06-25T10:02:43.762566+00:00,2025-06-25T10:02:43.762566+00:00
txn_B22070A8,user_001,,,DEBIT,18584.0,INR,UPI-LANDLORD-RENT,Landlord Rent,Rent,2025-10-19T14:35:08.762566+00:00,96015,UPI,"Bengaluru, Karnataka",2025-10-19T14:35:08.762566+00:00,2025-10-19T14:35:08.762566+00:00
txn_E1B6A401,user_012,,,DEBIT,1174.0,INR,UPI-THIRD-WAVE-COFFEE-DEPOT,Third Wave Coffee,Food,2025-06-14T07:54:48.762566+00:00,132714,UPI,"Mumbai, Maharashtra",2025-06-14T07:54:48.762566+00:00,2025-06-14T07:54:48.762566+00:00
txn_236FCC3F,user_024,,,DEBIT,4285.0,INR,UPI-COSTA-COFFEE-TIME,Costa Coffee Time,Food,2025-05-30T10:24:09.762566+00:00,83227,UPI,"Delhi, Delhi",2025-05-30T10:24:09.762566+00:00,2025-05-30T10:24:09.762566+00:00
txn_AEF8AB3E,user_019,,,DEBIT,968.0,INR,UPI-CAFE-COFFEE-PLACE-HOUSE-CAFE-COFFEE-CENTRAL-PERK,Cafe Coffee Place,Food,2025-11-04T20:22:00.762566+00:00,132240,UPI,"Delhi, Delhi",2025-11-04T20:22:00.762566+00:00,2025-11-04T20:22:00.762566+00:00
txn_9620A64F,user_039,,,DEBIT,224.0,INR,UPI-CAFE-COFFEE-WORKS-HOUSE-CAFE-COFFEE-HAVEN-HOUSE,Cafe Coffee Works,Grocery,2025-06-02T02:23:29.762566+00:00,80629,UPI,"Pune, Maharashtra",2025-06-02T02:23:29.762566+00:00,2025-06-02T02:23:29.762566+00:00
txn_956A71B9,user_014,,,DEBIT,4292.0,INR,UPI-COSTA-COFFEE-ZONE-CAFE-COFFEE-LANE,Costa Coffee Zone,Transport,2025-06-24T17:09:54.762566+00:00,74403,UPI,"Bengaluru, Karnataka",2025-06-24T17:09:54.762566+00:00,2025-06-24T17:09:54.762566+00:00
txn_BC4315F2,user_020,,,DEBIT,4064.0,INR,UPI-CAFE-COFFEE-STREET-CAFE,Cafe Coffee Street,Food,2025-05-31T18:05:02.762566+00:00,139647,UPI,"Bengaluru, Karnataka",2025-05-31T18:05:02.762566+00:00,2025-05-31T18:05:02.762566+00:00
txn_EF360962,user_036,,,DEBIT,1029.0,INR,UPI-CAFE-COFFEE-SPOT-CAFE-COFFEE-SHOP-CAFE-COFFEE-STUDIO-CAFE-COFFEE-SHOP-CAFE-COFFEE-COURT-CAFE-COFFEE-STOP-CAFE-COFFEE-ROASTERS-HOUSE,Cafe Coffee Spot,Medical,2025-09-07T08:51:22.762566+00:00,61849,UPI,"Bengaluru, Karnataka",2025-09-07T08:51:22.762566+00:00,2025-09-07T08:51:22.762566+00:00
txn_25159C2A,user_008,,,DEBIT,2844.0,INR,UPI-APOLLO-HOSPITALS-PHARMACY-INDIA,Apollo Hospitals Pharmacy,Shopping,2025-10-08T08:10:29.762566+00:00,87770,UPI,"Pune, Maharashtra",2025-10-08T08:10:29.762566+00:00,2025-10-08T08:10:29.762566+00:00
txn_6591D6B3,user_047,,,DEBIT,232.0,INR,UPI-DTH-RECHARGE,Dth Recharge,Recharge,2025-10-09T04:12:12.762566+00:00,79497,UPI,"Pune, Maharashtra",2025-10-09T04:12:12.762566+00:00,2025-10-09T04:12:12.762566+00:00
txn_8ED39A08,user_027,,,DEBIT,3633.0,INR,UPI-CAFE-COFFEE-ZONE-CAFE,Cafe Coffee Zone,Food,2025-06-22T16:05:18.762566+00:00,87603,UPI,"Bengaluru, Karnataka",2025-06-22T16:05:18.762566+00:00,2025-06-22T16:05:18.762566+00:00
