event_id,user_id,title,category,related_job_id,related_company_id,start_time,end_time,priority,event_status,location,created_at,updated_at
evt_2013,user_001,Self-Care Session Event,Self-Care Session,,,2025-12-22T18:45:00+00:00,2025-12-22T19:45:00+00:00,Medium,done,"Bengaluru, Karnataka",2025-12-08T18:45:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2014,user_034,Electrician Appointment Event,Electrician Appointment,,,2026-01-24T17:30:00+00:00,2026-01-24T18:30:00+00:00,Medium,done,"Mumbai, Maharashtra",2026-01-11T17:30:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2015,user_028,Team Sync Event,Team Sync,,,2025-11-20T15:45:00+00:00,2025-11-20T17:45:00+00:00,Medium,scheduled,Remote,2025-11-09T15:45:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2016,user_001,House Cleaning Event,House Cleaning,,,2025-11-12T15:45:00+00:00,2025-11-12T16:45:00+00:00,Medium,scheduled,"Pune, Maharashtra",2025-11-06T15:45:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2017,user_010,Dentist Appointment Event,Dentist Appointment,,,2025-11-05T16:30:00+00:00,2025-11-05T19:30:00+00:00,Medium,done,"Pune, Maharashtra",2025-10-10T16:30:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2018,user_008,Game Night Event,Game Night,,,2025-11-07T16:15:00+00:00,2025-11-07T19:15:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-11-07T16:15:00+00:00,2025-11-26T06:39:52.400704+00:00
evt_2019,user_011,Religious Event Event,Religious Event,,,2025-12-19T12:15:00+00:00,2025-12-19T15:15:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-12-01T12:15:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2020,user_018,Subscription Renewal Event,Subscription Renewal,,,2025-12-26T11:15:00+00:00,2025-12-26T13:15:00+00:00,Medium,done,Remote,2025-12-19T11:15:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2021,user_031,Interview Preparation Event,Interview Preparation,,,2025-11-05T13:00:00+00:00,2025-11-05T14:00:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-10-20T13:00:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2022,user_026,Cultural Festival Event,Cultural Festival,,,2025-12-23T11:30:00+00:00,2025-12-23T13:30:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-12-09T11:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2023,user_042,Medical Test Event,Medical Test,,,2026-01-19T17:30:00+00:00,2026-01-19T19:30:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-12-29T17:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2024,user_004,Interview Preparation Event,Interview Preparation,,,2025-12-04T14:15:00+00:00,2025-12-04T16:15:00+00:00,Medium,cancelled,Remote,2025-11-30T14:15:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2025,user_025,Anniversary Celebration of Dakshesh,Anniversary Celebration,,,2026-01-23T11:30:00+00:00,2026-01-23T14:30:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2026-01-12T11:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2026,user_048,Bill Payment Reminder Event,Bill Payment Reminder,,,2025-12-26T15:30:00+00:00,2025-12-26T18:30:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-12-09T15:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2027,user_029,Cooking Time Event,Cooking Time,,,2025-12-21T14:00:00+00:00,2025-12-21T16:00:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-12-21T14:00:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2028,user_031,Self-Care Session Event,Self-Care Session,,,2026-01-02T17:30:00+00:00,2026-01-02T18:30:00+00:00,Medium,cancelled,Remote,2025-12-26T17:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2029,user_030,Personal Errand Event,Personal Errand,,,2025-10-28T14:00:00+00:00,2025-10-28T16:00:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-10-06T14:00:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2030,user_002,Freelance Job Review Event,Freelance Job Review,,,2025-11-25T17:15:00+00:00,2025-11-25T19:15:00+00:00,Medium,scheduled,"Pune, Maharashtra",2025-11-12T17:15:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2031,user_024,Medical Test Event,Medical Test,,,2026-01-24T16:30:00+00:00,2026-01-24T18:30:00+00:00,Medium,cancelled,Remote,2025-12-25T16:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2032,user_038,Skill Learning Session Event,Skill Learning Session,,,2025-12-21T16:30:00+00:00,2025-12-21T17:30:00+00:00,Medium,scheduled,"Pune, Maharashtra",2025-12-15T16:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2033,user_027,Concert Event Event,Concert Event,,,2026-01-14T14:15:00+00:00,2026-01-14T17:15:00+00:00,Medium,done,"Bengaluru, Karnataka",2025-12-23T14:15:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2034,user_028,Meditation Session Event,Meditation Session,,,2026-01-16T15:15:00+00:00,2026-01-16T18:15:00+00:00,Medium,done,"Mumbai, Maharashtra",2026-01-16T15:15:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2035,user_024,Anniversary Celebration of Mason,Anniversary Celebration,,,2025-11-10T18:30:00+00:00,2025-11-10T21:30:00+00:00,Medium,done,"Mumbai, Maharashtra",2025-10-14T18:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2036,user_020,Self-Care Session Event,Self-Care Session,,,2026-01-05T11:00:00+00:00,2026-01-05T14:00:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-12-09T11:00:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2037,user_044,Date Night Event,Date Night,,,2025-11-10T16:45:00+00:00,2025-11-10T19:45:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2025-10-29T16:45:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2038,user_029,Skill Learning Session Event,Skill Learning Session,,,2026-01-24T10:30:00+00:00,2026-01-24T13:30:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2026-01-06T10:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2039,user_026,Interview Preparation Event,Interview Preparation,,,2026-01-08T11:45:00+00:00,2026-01-08T13:45:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2026-01-01T11:45:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2040,user_007,Payment Collection Alert Event,Payment Collection Alert,,,2025-11-14T08:45:00+00:00,2025-11-14T09:45:00+00:00,Medium,done,"Mumbai, Maharashtra",2025-10-29T08:45:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2041,user_014,Dentist Appointment Event,Dentist Appointment,,,2025-12-23T08:30:00+00:00,2025-12-23T10:30:00+00:00,Medium,done,"Bengaluru, Karnataka",2025-12-19T08:30:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2042,user_044,Dentist Appointment Event,Dentist Appointment,,,2026-01-19T12:00:00+00:00,2026-01-19T15:00:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-12-23T12:00:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2043,user_021,Morning Run Event,Morning Run,,,2025-11-09T10:45:00+00:00,2025-11-09T13:45:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-10-23T10:45:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2044,user_043,Personal Errand Event,Personal Errand,,,2025-10-31T09:00:00+00:00,2025-10-31T11:00:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-10-14T09:00:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2045,user_021,Reading Time Event,Reading Time,,,2025-12-31T14:15:00+00:00,2025-12-31T16:15:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-12-18T14:15:00+00:00,2025-11-26T06:39:52.406803+00:00
evt_2046,user_045,Rent Payment Reminder Event,Rent Payment Reminder,,,2025-12-27T18:00:00+00:00,2025-12-27T19:00:00+00:00,High,done,"Pune, Maharashtra",2025-12-24T18:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2047,user_043,Rent Payment Reminder Event,Rent Payment Reminder,,,2025-11-28T15:45:00+00:00,2025-11-28T16:45:00+00:00,High,done,"Pune, Maharashtra",2025-11-07T15:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2048,user_039,Diet Tracking Reminder Event,Diet Tracking Reminder,,,2025-11-13T09:15:00+00:00,2025-11-13T11:15:00+00:00,Medium,done,Remote,2025-11-12T09:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2049,user_018,Cooking Time Event,Cooking Time,,,2025-12-29T08:00:00+00:00,2025-12-29T09:00:00+00:00,Medium,scheduled,"Pune, Maharashtra",2025-12-28T08:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2050,user_033,Mobile Recharge Reminder Event,Mobile Recharge Reminder,,,2025-12-11T11:00:00+00:00,2025-12-11T12:00:00+00:00,Medium,done,"Pune, Maharashtra",2025-11-27T11:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2051,user_026,Grocery Shopping Event,Grocery Shopping,,,2025-12-23T09:15:00+00:00,2025-12-23T10:15:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2025-11-28T09:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2052,user_039,Bill Payment Reminder Event,Bill Payment Reminder,,,2025-11-15T10:45:00+00:00,2025-11-15T13:45:00+00:00,Medium,done,Remote,2025-10-22T10:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2053,user_045,Weekend Trip Event,Weekend Trip,,,2025-12-14T10:15:00+00:00,2025-12-14T11:15:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2025-11-20T10:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2054,user_021,Portfolio Update Event,Portfolio Update,,,2026-01-19T17:00:00+00:00,2026-01-19T19:00:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2026-01-05T17:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2055,user_046,Weekend Trip Event,Weekend Trip,,,2025-11-07T17:45:00+00:00,2025-11-07T19:45:00+00:00,Medium,scheduled,Remote,2025-10-28T17:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2056,user_042,Religious Event Event,Religious Event,,,2025-12-08T13:45:00+00:00,2025-12-08T16:45:00+00:00,Medium,done,"Bengaluru, Karnataka",2025-11-23T13:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2057,user_015,Yoga Session Event,Yoga Session,,,2025-11-27T14:15:00+00:00,2025-11-27T16:15:00+00:00,Medium,scheduled,Remote,2025-11-12T14:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2058,user_038,Grocery Shopping Event,Grocery Shopping,,,2025-12-07T17:30:00+00:00,2025-12-07T19:30:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2025-11-26T17:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2059,user_030,Electrician Appointment Event,Electrician Appointment,,,2025-11-25T08:00:00+00:00,2025-11-25T11:00:00+00:00,Medium,cancelled,Remote,2025-11-01T08:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2060,user_009,Meditation Session Event,Meditation Session,,,2025-12-19T09:00:00+00:00,2025-12-19T11:00:00+00:00,Medium,cancelled,Remote,2025-12-12T09:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2061,user_010,Physiotherapy Session Event,Physiotherapy Session,,,2025-12-10T15:30:00+00:00,2025-12-10T18:30:00+00:00,Medium,done,"Mumbai, Maharashtra",2025-12-02T15:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2062,user_024,Game Night Event,Game Night,,,2025-11-11T18:45:00+00:00,2025-11-11T20:45:00+00:00,Medium,done,Remote,2025-10-27T18:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2063,user_026,Meditation Session Event,Meditation Session,,,2025-11-18T08:00:00+00:00,2025-11-18T11:00:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-10-20T08:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2064,user_012,Home Repair Visit Event,Home Repair Visit,,,2026-01-09T10:15:00+00:00,2026-01-09T11:15:00+00:00,Medium,done,"Mumbai, Maharashtra",2026-01-02T10:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2065,user_005,Eye Checkup Event,Eye Checkup,,,2025-11-29T15:30:00+00:00,2025-11-29T17:30:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2025-11-09T15:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2066,user_021,"Project Deadline: UI/UX Designer to improve the onboarding experience for a SaaS platform. Medium-priority project, with wireframes, prototyping, and user testing required. Strong Figma skills needed.",Project Deadline,job_9b92a8a7,company_022,2026-01-03T12:30:00+00:00,2026-01-03T14:30:00+00:00,High,scheduled,"Mumbai, Maharashtra",2025-12-24T12:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2067,user_028,Freelance Job Review Event,Freelance Job Review,,,2026-01-15T08:00:00+00:00,2026-01-15T11:00:00+00:00,Medium,scheduled,Remote,2026-01-01T08:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2068,user_010,House Cleaning Event,House Cleaning,,,2025-11-11T08:30:00+00:00,2025-11-11T10:30:00+00:00,Medium,done,Remote,2025-10-23T08:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2069,user_029,Skill Learning Session Event,Skill Learning Session,,,2025-10-27T15:15:00+00:00,2025-10-27T18:15:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2025-10-15T15:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2070,user_045,Weekend Trip Event,Weekend Trip,,,2026-01-05T09:15:00+00:00,2026-01-05T10:15:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-12-29T09:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2071,user_002,Yoga Session Event,Yoga Session,,,2025-12-16T12:30:00+00:00,2025-12-16T15:30:00+00:00,Medium,done,Remote,2025-11-20T12:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2072,user_024,Friend Meetup Event,Friend Meetup,,,2025-12-28T18:15:00+00:00,2025-12-28T21:15:00+00:00,Medium,done,"Pune, Maharashtra",2025-12-04T18:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2073,user_030,Religious Event Event,Religious Event,,,2026-01-02T12:45:00+00:00,2026-01-02T14:45:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2025-12-14T12:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2074,user_018,Cultural Festival Event,Cultural Festival,,,2026-01-14T11:30:00+00:00,2026-01-14T12:30:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2025-12-19T11:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2075,user_025,Weekend Trip Event,Weekend Trip,,,2025-11-08T13:45:00+00:00,2025-11-08T16:45:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-10-27T13:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2076,user_017,Eye Checkup Event,Eye Checkup,,,2025-11-30T13:15:00+00:00,2025-11-30T16:15:00+00:00,Medium,done,"Pune, Maharashtra",2025-11-07T13:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2077,user_046,Mobile Recharge Reminder Event,Mobile Recharge Reminder,,,2025-12-29T11:00:00+00:00,2025-12-29T13:00:00+00:00,Medium,done,Remote,2025-12-22T11:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2078,user_003,Flight Trip Event,Flight Trip,,,2026-01-07T08:30:00+00:00,2026-01-07T10:30:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2025-12-29T08:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2079,user_031,Skill Learning Session Event,Skill Learning Session,,,2025-11-19T18:30:00+00:00,2025-11-19T21:30:00+00:00,Medium,scheduled,Remote,2025-11-13T18:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2080,user_026,Cooking Time Event,Cooking Time,,,2026-01-03T08:30:00+00:00,2026-01-03T09:30:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-12-26T08:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2081,user_004,Concert Event Event,Concert Event,,,2025-11-13T08:30:00+00:00,2025-11-13T10:30:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-10-25T08:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2082,user_022,Physiotherapy Session Event,Physiotherapy Session,,,2025-12-31T08:00:00+00:00,2025-12-31T09:00:00+00:00,Medium,done,"Bengaluru, Karnataka",2025-12-02T08:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2083,user_038,Interview Preparation Event,Interview Preparation,,,2025-10-31T18:15:00+00:00,2025-10-31T20:15:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2025-10-06T18:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2084,user_022,Invoice Follow-Up Reminder Event,Invoice Follow-Up Reminder,,,2026-01-14T15:45:00+00:00,2026-01-14T16:45:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2026-01-01T15:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2085,user_027,Date Night Event,Date Night,,,2025-11-30T09:00:00+00:00,2025-11-30T11:00:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2025-11-23T09:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2086,user_021,Medicine Refill Reminder Event,Medicine Refill Reminder,,,2025-12-05T18:30:00+00:00,2025-12-05T20:30:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2025-11-23T18:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2087,user_019,Home Repair Visit Event,Home Repair Visit,,,2025-11-30T18:45:00+00:00,2025-11-30T21:45:00+00:00,Medium,done,"Pune, Maharashtra",2025-11-13T18:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2088,user_030,Sports Practice Event,Sports Practice,,,2025-12-02T13:00:00+00:00,2025-12-02T15:00:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-11-06T13:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2089,user_041,Meditation Session Event,Meditation Session,,,2025-12-14T17:15:00+00:00,2025-12-14T19:15:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-11-24T17:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2090,user_038,Diet Tracking Reminder Event,Diet Tracking Reminder,,,2025-12-04T09:45:00+00:00,2025-12-04T10:45:00+00:00,Medium,cancelled,Remote,2025-11-11T09:45:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2091,user_001,Doctor Appointment Event,Doctor Appointment,,,2025-10-27T11:00:00+00:00,2025-10-27T13:00:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-10-19T11:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2092,user_025,Gym Workout Event,Gym Workout,,,2026-01-22T12:15:00+00:00,2026-01-22T14:15:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2026-01-07T12:15:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2093,user_033,House Cleaning Event,House Cleaning,,,2025-11-10T18:00:00+00:00,2025-11-10T21:00:00+00:00,Medium,scheduled,Remote,2025-11-07T18:00:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2094,user_042,Personal Errand Event,Personal Errand,,,2025-12-12T09:30:00+00:00,2025-12-12T11:30:00+00:00,Medium,scheduled,Remote,2025-11-29T09:30:00+00:00,2025-11-26T06:39:52.407567+00:00
evt_2095,user_018,House Cleaning Event,House Cleaning,,,2025-12-30T08:30:00+00:00,2025-12-30T11:30:00+00:00,Medium,done,"Pune, Maharashtra",2025-12-17T08:30:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2096,user_006,Diet Tracking Reminder Event,Diet Tracking Reminder,,,2025-11-10T17:15:00+00:00,2025-11-10T18:15:00+00:00,Medium,scheduled,"Mumbai, Maharashtra",2025-10-26T17:15:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2097,user_025,Hotel Check-In Event,Hotel Check-In,,,2025-10-31T08:30:00+00:00,2025-10-31T09:30:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-10-04T08:30:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2098,user_010,Cultural Festival Event,Cultural Festival,,,2025-11-27T14:45:00+00:00,2025-11-27T17:45:00+00:00,Medium,scheduled,Remote,2025-11-12T14:45:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2099,user_019,Subscription Renewal Event,Subscription Renewal,,,2025-11-03T11:00:00+00:00,2025-11-03T13:00:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-10-14T11:00:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2100,user_036,Movie Night Event,Movie Night,,,2025-11-17T09:30:00+00:00,2025-11-17T12:30:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-11-14T09:30:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2101,user_029,Interview Preparation Event,Interview Preparation,,,2025-11-18T14:45:00+00:00,2025-11-18T17:45:00+00:00,Medium,scheduled,Remote,2025-11-13T14:45:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2102,user_018,Freelance Job Review Event,Freelance Job Review,,,2026-01-07T14:45:00+00:00,2026-01-07T15:45:00+00:00,Medium,cancelled,"Mumbai, Maharashtra",2025-12-21T14:45:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2103,user_020,Deep Work Event,Deep Work,,,2025-12-15T16:30:00+00:00,2025-12-15T17:30:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-12-04T16:30:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2104,user_046,Hotel Check-In Event,Hotel Check-In,,,2025-12-09T16:15:00+00:00,2025-12-09T18:15:00+00:00,Medium,scheduled,"Pune, Maharashtra",2025-11-30T16:15:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2105,user_036,Home Repair Visit Event,Home Repair Visit,,,2025-11-07T13:30:00+00:00,2025-11-07T15:30:00+00:00,Medium,cancelled,Remote,2025-10-22T13:30:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2106,user_034,Physiotherapy Session Event,Physiotherapy Session,,,2025-11-22T13:45:00+00:00,2025-11-22T15:45:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-11-09T13:45:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2107,user_018,Dentist Appointment Event,Dentist Appointment,,,2025-11-07T09:00:00+00:00,2025-11-07T10:00:00+00:00,Medium,done,"Mumbai, Maharashtra",2025-10-25T09:00:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2108,user_050,Travel Planning Event,Travel Planning,,,2025-10-31T09:30:00+00:00,2025-10-31T12:30:00+00:00,Medium,scheduled,Remote,2025-10-19T09:30:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2109,user_029,Client Meeting with TechCorp Solutions,Client Meeting,,company_028,2025-12-16T14:30:00+00:00,2025-12-16T15:30:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-12-03T14:30:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2110,user_049,Travel Planning Event,Travel Planning,,,2026-01-23T18:15:00+00:00,2026-01-23T19:15:00+00:00,Medium,cancelled,"Bengaluru, Karnataka",2025-12-25T18:15:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2111,user_001,Personal Errand Event,Personal Errand,,,2026-01-17T08:15:00+00:00,2026-01-17T11:15:00+00:00,Medium,scheduled,"Bengaluru, Karnataka",2026-01-14T08:15:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2112,user_004,Weekend Trip Event,Weekend Trip,,,2026-01-08T14:30:00+00:00,2026-01-08T16:30:00+00:00,Medium,done,Remote,2025-12-30T14:30:00+00:00,2025-11-26T06:39:52.408578+00:00
evt_2113,user_038,Deep Work Event,Deep Work,,,2026-01-07T12:15:00+00:00,2026-01-07T15:15:00+00:00,Medium,cancelled,"Pune, Maharashtra",2025-12-13T12:15:00+00:00,2025-11-26T06:39:52.408578+00:00
